cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
61,6.562009,29.599379,1.44162500000E+02,4.84669400000E+01,144.1638579,48.4685249,0.2575,0.3069,-0.1230,14.837,0.092,11.8,8.6280E-01,14.745,null,1.7,8.2920E-01,1,0,0000,AU,10,58215.74713120,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.564346,33.449986,1.44162500000E+02,4.84669400000E+01,144.1640159,48.4684614,0.2534,0.2849,-0.0489,14.906,0.088,12.3,7.7600E-01,14.407,0.204,5.3,9.9090E-01,1,0,0000,AB,10,56773.72700953,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.564507,34.163637,1.44162500000E+02,4.84669400000E+01,144.1640444,48.4684488,0.2906,0.3289,-0.1029,15.038,0.101,10.8,1.3250E+00,15.262,0.383,2.8,3.3430E-01,1,0,0000,AC,10,58058.34894777,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.569233,40.041711,1.44162500000E+02,4.84669400000E+01,144.1642706,48.4683370,0.3216,0.3431,-0.0222,15.032,0.097,11.2,1.7840E+00,14.964,null,0.7,9.4210E-01,1,0,0000,AU,10,56965.43985797,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.569695,39.639785,1.44162500000E+02,4.84669400000E+01,144.1642559,48.4683453,0.3410,0.3672,0.0933,15.057,0.110,9.9,6.4370E-01,15.085,0.359,3.0,8.2150E-01,1,0,0000,BC,10,57694.34442628,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.571088,31.326377,1.44162500000E+02,4.84669400000E+01,144.1639313,48.4684992,0.2423,0.3119,0.0479,14.797,0.090,12.1,1.4420E+00,14.425,null,1.4,8.6320E-01,1,0,0000,AU,10,57330.30536118,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.577643,38.991446,1.44162500000E+02,4.84669400000E+01,144.1642339,48.4683601,0.2624,0.2948,0.0401,14.936,0.095,11.4,1.0960E+00,15.307,0.408,2.7,6.0710E-01,1,0,0000,AC,10,57855.17535627,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.583607,29.657461,1.44162500000E+02,4.84669400000E+01,144.1638648,48.4685292,0.2837,0.3215,-0.1061,14.986,0.095,11.5,1.3120E+00,14.835,0.292,3.7,7.6320E-01,1,0,0000,AB,10,58425.23435718,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.583891,34.857871,1.44162500000E+02,4.84669400000E+01,144.1640765,48.4684407,0.2405,0.2700,0.0469,14.761,0.082,13.2,1.0450E+00,14.780,0.261,4.2,5.5490E-01,1,0,0000,AB,10,57132.41684486,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.590071,39.179243,1.44162500000E+02,4.84669400000E+01,144.1642442,48.4683590,0.3038,0.3283,-0.1115,15.008,0.110,9.9,4.8860E-01,14.708,0.280,3.9,4.9830E-01,1,0,0000,BB,10,58580.01991409,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.602396,35.926842,1.44162500000E+02,4.84669400000E+01,144.1641230,48.4684251,0.2462,0.2703,0.0469,14.920,0.089,12.2,1.9840E+00,14.694,0.234,4.6,4.4790E-01,1,0,0000,AB,10,57855.43729080,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.617508,36.217945,1.44162500000E+02,4.84669400000E+01,144.1641381,48.4684230,0.2470,0.2736,0.0419,14.927,0.088,12.3,1.3640E+00,14.440,0.277,3.9,1.3550E+00,1,0,0000,AB,5,57494.50466464,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.622883,32.259757,1.44162500000E+02,4.84669400000E+01,144.1639810,48.4684957,0.2880,0.3479,0.0599,15.079,0.105,10.3,1.5140E+00,15.167,0.410,2.6,7.0500E-01,1,0,0000,AC,10,57326.69812697,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.628092,36.874942,1.44162500000E+02,4.84669400000E+01,144.1641663,48.4684128,0.3178,0.3847,0.1234,14.941,0.108,10.0,8.8560E-01,14.898,0.535,2.0,2.9980E-01,1,0,0000,AC,10,57132.74512262,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.629109,45.949802,1.44162500000E+02,4.84669400000E+01,144.1644961,48.4682203,0.3175,0.4684,-0.0725,15.035,0.117,9.3,1.5630E+00,14.749,0.275,4.0,8.3490E-01,1,0,0000,BB,10,58789.56513325,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.644009,33.868003,1.44162500000E+02,4.84669400000E+01,144.1640512,48.4684724,0.2814,0.3073,-0.0947,14.921,0.091,11.9,6.8850E-01,15.403,0.509,2.1,4.6880E-01,1,0,0000,AC,10,57855.56819439,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.649582,31.707618,1.44162500000E+02,4.84669400000E+01,144.1639642,48.4685114,0.2479,0.2766,-0.0532,14.858,0.085,12.8,1.1690E+00,14.588,0.247,4.4,8.7030E-01,1,0,0000,AB,5,58058.28349606,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.650572,36.547838,1.44162500000E+02,4.84669400000E+01,144.1641592,48.4684241,0.2804,0.3225,0.0278,15.107,0.098,11.1,1.1500E+00,14.768,null,1.6,6.9880E-01,1,0,0000,AU,10,58580.21575992,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.655987,34.783691,1.44162500000E+02,4.84669400000E+01,144.1640908,48.4684585,0.3292,0.3751,-0.0547,15.029,0.106,10.3,1.2990E+00,14.857,0.351,3.1,5.6260E-01,1,0,0000,AB,10,57694.67194045,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.658965,32.501273,1.44162500000E+02,4.84669400000E+01,144.1639990,48.4685000,0.2417,0.3197,-0.0585,14.861,0.100,10.9,7.6870E-01,15.336,0.476,2.3,7.8880E-01,1,0,0000,AC,10,56964.71657845,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
