mjd	w1mag	w2mag	w1flux	w2flux
56720.77052999091	11.405+/-0.012	10.671+/-0.012	0.00855+/-0.00009	0.00932+/-0.00010
56911.97645055364	11.397+/-0.012	10.676+/-0.007	0.00861+/-0.00010	0.00928+/-0.00006
57082.753339170005	11.410+/-0.013	10.681+/-0.009	0.00851+/-0.00010	0.00924+/-0.00007
57276.82091556694	11.386+/-0.014	10.687+/-0.006	0.00870+/-0.00011	0.00919+/-0.00005
57441.85256860273	11.406+/-0.014	10.654+/-0.011	0.00854+/-0.00011	0.00947+/-0.00010
57641.11168045364	11.430+/-0.010	10.688+/-0.009	0.00835+/-0.00008	0.00917+/-0.00008
57806.08264425249	11.433+/-0.012	10.676+/-0.005	0.00833+/-0.00009	0.00928+/-0.00004
58005.230179032	11.415+/-0.019	10.709+/-0.008	0.00847+/-0.00015	0.00900+/-0.00007
58163.218610953	11.429+/-0.008	10.680+/-0.006	0.00836+/-0.00006	0.00924+/-0.00005
58372.22524887454	11.442+/-0.013	10.686+/-0.006	0.00826+/-0.00010	0.00919+/-0.00005
58530.51983525499	11.449+/-0.010	10.738+/-0.015	0.00821+/-0.00007	0.00877+/-0.00012
58736.47425298924	11.431+/-0.011	10.694+/-0.005	0.00834+/-0.00009	0.00913+/-0.00004
