mjd	w1mag	w2mag	w1flux	w2flux
56732.141120274006	15.65+/-0.27	14.81+/-0.05	0.00017+/-0.00004	0.000207+/-0.000010
56923.55828131801	15.77+/-0.16	15.06+/-0.10	0.000153+/-0.000023	0.000164+/-0.000016
57091.203536732006	16.04+/-0.23	14.96+/-0.09	0.000120+/-0.000025	0.000179+/-0.000015
57285.503825864995	15.57+/-0.08	14.91+/-0.09	0.000185+/-0.000014	0.000188+/-0.000015
57450.37262820715	15.76+/-0.10	14.98+/-0.07	0.000155+/-0.000015	0.000177+/-0.000011
57649.675657905	15.75+/-0.18	14.87+/-0.19	0.000156+/-0.000026	0.000195+/-0.000035
57814.54693634333	15.64+/-0.08	14.95+/-0.08	0.000173+/-0.000012	0.000181+/-0.000013
58016.58883741	15.52+/-0.19	15.05+/-0.13	0.000193+/-0.000035	0.000165+/-0.000019
58171.498204715004	15.90+/-0.09	14.91+/-0.11	0.000136+/-0.000011	0.000188+/-0.000019
58380.743614337494	15.87+/-0.12	14.82+/-0.09	0.000140+/-0.000015	0.000204+/-0.000017
58538.57807319666	15.69+/-0.05	15.09+/-0.23	0.000165+/-0.000007	0.000159+/-0.000033
58744.69650248	15.702+/-nan	15.155999999999999+/-nan	0.00016331004487423481+/-nan	0.0001498047901372646+/-nan
