mjd	w1mag	w2mag	w1flux	w2flux
56643.05145593	15.21+/-0.20	14.61+/-0.07	0.00026+/-0.00005	0.000247+/-0.000016
56831.20172267	15.19+/-0.12	14.44+/-0.10	0.000262+/-0.000028	0.000289+/-0.000027
57008.29145547332	15.08+/-0.11	14.71+/-0.22	0.000289+/-0.000029	0.00023+/-0.00005
57192.952227715	15.14+/-0.06	14.89+/-0.16	0.000275+/-0.000016	0.000191+/-0.000029
57367.1145603475	15.19+/-0.09	14.97+/-0.14	0.000262+/-0.000021	0.000178+/-0.000024
57557.02303430286	15.09+/-0.06	14.91+/-0.09	0.000287+/-0.000016	0.000188+/-0.000015
57726.38993688667	15.08+/-0.04	15.06+/-0.08	0.000289+/-0.000011	0.000163+/-0.000012
57924.082252210006	15.04+/-0.11	14.94+/-0.11	0.000299+/-0.000031	0.000183+/-0.000019
58089.899111236	15.199+/-0.030	14.71+/-0.19	0.000259+/-0.000007	0.00023+/-0.00004
58288.217711200006	15.33+/-0.08	14.71+/-0.13	0.000230+/-0.000016	0.000226+/-0.000027
58450.50678932333	15.21+/-0.04	14.74+/-0.10	0.000257+/-0.000009	0.000219+/-0.000020
58652.7413174225	15.21+/-0.07	14.51+/-0.23	0.000257+/-0.000018	0.00027+/-0.00006
58814.75340109	15.01+/-0.12	14.86+/-0.20	0.000308+/-0.000034	0.00020+/-0.00004
