mjd	w1mag	w2mag	w1flux	w2flux
56764.92296801	15.344000000000001+/-nan	15.209000000000001+/-nan	0.00022709778489405274+/-nan	0.000142667713354633+/-nan
56947.12708767	15.34+/-0.05	15.23+/-0.06	0.000228+/-0.000011	0.000140+/-0.000008
57129.58331506101	15.38+/-0.08	15.02+/-0.08	0.000219+/-0.000016	0.000170+/-0.000013
57306.29695740819	15.45+/-0.08	14.87+/-0.09	0.000205+/-0.000016	0.000194+/-0.000017
57493.80517075909	15.43+/-0.10	15.09+/-0.07	0.000210+/-0.000018	0.000159+/-0.000010
57665.1133402925	15.22+/-0.08	15.03+/-0.20	0.000254+/-0.000018	0.000169+/-0.000031
57858.38281302	15.42+/-0.11	15.31+/-0.05	0.000212+/-0.000021	0.000130+/-0.000006
58027.943242238885	15.38+/-0.06	14.97+/-0.10	0.000219+/-0.000012	0.000177+/-0.000016
58225.1820829857	15.45+/-0.08	14.97+/-0.08	0.000206+/-0.000015	0.000178+/-0.000013
58389.42444675143	15.36+/-0.06	15.11+/-0.13	0.000224+/-0.000012	0.000156+/-0.000019
58589.60778921666	15.22+/-0.10	15.18+/-0.11	0.000255+/-0.000023	0.000146+/-0.000014
58753.191840461994	15.42+/-0.09	15.02+/-0.12	0.000212+/-0.000018	0.000170+/-0.000019
