mjd	w1mag	w2mag	w1flux	w2flux
56795.749777600715	11.144+/-0.014	10.708+/-0.009	0.01087+/-0.00014	0.00901+/-0.00007
56986.21901541715	11.152+/-0.011	10.710+/-0.007	0.01079+/-0.00010	0.00900+/-0.00006
57154.66712255667	11.164+/-0.010	10.7123+/-0.0035	0.01068+/-0.00010	0.008975+/-0.000029
57348.24179619667	11.169+/-0.013	10.704+/-0.011	0.01063+/-0.00012	0.00905+/-0.00009
57514.18464740066	11.158+/-0.010	10.711+/-0.004	0.01073+/-0.00010	0.008984+/-0.000033
57714.058327057086	11.167+/-0.008	10.720+/-0.007	0.01064+/-0.00008	0.00891+/-0.00006
57874.233452287335	11.190+/-0.006	10.722+/-0.010	0.01042+/-0.00006	0.00890+/-0.00008
58079.49870788154	11.177+/-0.011	10.724+/-0.011	0.01055+/-0.00010	0.00888+/-0.00009
58237.469159217144	11.183+/-0.008	10.727+/-0.010	0.01049+/-0.00007	0.00885+/-0.00008
58444.34643318923	11.175+/-0.013	10.729+/-0.007	0.01056+/-0.00012	0.00883+/-0.00005
58601.61242074073	11.175+/-0.013	10.737+/-0.013	0.01057+/-0.00013	0.00877+/-0.00010
58810.726817374154	11.166+/-0.008	10.704+/-0.010	0.01065+/-0.00008	0.00904+/-0.00008
