mjd	w1mag	w2mag	w1flux	w2flux
56703.27399693	10.155+/-0.009	8.963+/-0.004	0.02702+/-0.00022	0.04496+/-0.00017
	nan+/-nan	nan+/-nan	nan+/-nan	nan+/-nan
57062.257739736	10.177+/-0.017	9.001+/-0.016	0.0265+/-0.0004	0.0434+/-0.0006
	nan+/-nan	nan+/-nan	nan+/-nan	nan+/-nan
57421.77783925199	10.203+/-0.015	8.972+/-0.009	0.02586+/-0.00035	0.0446+/-0.0004
	nan+/-nan	nan+/-nan	nan+/-nan	nan+/-nan
57785.67113759	10.228+/-0.008	8.979+/-0.005	0.02528+/-0.00018	0.04429+/-0.00019
57986.40262856	10.193+/-nan	9.024+/-nan	0.026098340809941317+/-nan	0.04249381281758697+/-nan
58143.71408394999	10.215+/-0.014	8.982+/-0.010	0.02556+/-0.00034	0.0442+/-0.0004
	nan+/-nan	nan+/-nan	nan+/-nan	nan+/-nan
58509.8007035525	10.171+/-0.006	8.994+/-0.005	0.02664+/-0.00014	0.04370+/-0.00019
58715.25433521	10.219+/-nan	9.058+/-nan	0.025480790558222523+/-nan	0.04118373213566121+/-nan
