mjd	w1mag	w2mag	w1flux	w2flux
56743.963049815	14.54+/-0.07	14.645+/-0.004	0.000474+/-0.000029	0.0002398+/-0.0000009
56922.871203610004	14.365+/-0.027	14.42+/-0.08	0.000559+/-0.000014	0.000295+/-0.000020
57105.88294628	14.58+/-0.05	14.19+/-0.09	0.000459+/-0.000021	0.000366+/-0.000030
57282.16196371	14.561+/-0.026	14.59+/-0.17	0.000467+/-0.000011	0.00025+/-0.00004
57469.78788975	14.47+/-0.09	14.66+/-0.11	0.00051+/-0.00004	0.000238+/-0.000023
57644.11081519	14.68+/-0.06	14.64+/-0.17	0.000417+/-0.000025	0.00024+/-0.00004
57836.47010434	14.325999999999999+/-nan	14.774000000000001+/-nan	0.0005799798404270538+/-nan	0.00021297356492321504+/-nan
58004.611781695	14.569+/-0.035	14.41+/-0.04	0.000464+/-0.000015	0.000299+/-0.000010
58201.56828711	14.735+/-nan	14.42+/-nan	0.0003979356957797132+/-nan	0.0002950704374435337+/-nan
58364.7482277	14.45+/-nan	14.751+/-nan	0.0005173838856662944+/-nan	0.00021753327612861556+/-nan
58565.354713085	14.66+/-0.09	14.48+/-0.18	0.000426+/-0.000035	0.00028+/-0.00005
