mjd	w1mag	w2mag	w1flux	w2flux
57116.99173233	15.45+/-nan	15.452+/-nan	0.0002059742348125824+/-nan	0.00011405798648434302+/-nan
	nan+/-nan	nan+/-nan	nan+/-nan	nan+/-nan
57475.69893039	15.43+/-nan	15.607999999999999+/-nan	0.00020980358174113294+/-nan	(9.879289237510495+/-nan)e-05
57675.73875127	15.468+/-nan	14.732000000000001+/-nan	0.00020258761802509844+/-nan	0.00022137353519412903+/-nan
57836.8429515	15.41+/-0.13	14.78+/-0.15	0.000214+/-0.000026	0.000213+/-0.000028
58042.76608389	15.41+/-nan	15.077+/-nan	0.00021370412154442597+/-nan	0.00016111118817320897+/-nan
58196.96704756	15.448+/-nan	14.737+/-nan	0.00020635400304676226+/-nan	0.00022035641619049505+/-nan
58407.269205885	15.189+/-0.021	14.6+/-0.6	0.000262+/-0.000005	0.00025+/-0.00014
58563.79730535	15.11+/-nan	14.780999999999999+/-nan	0.00028171689828321707+/-nan	0.0002116048904332185+/-nan
