mjd	w1mag	w2mag	w1flux	w2flux
56687.96896130333	15.98+/-0.12	15.17+/-0.19	0.000126+/-0.000014	0.000148+/-0.000026
56877.51041742	15.33+/-nan	15.189+/-nan	0.00023004505285189673+/-nan	0.00014532010417640283+/-nan
57048.487486295	16.18+/-0.04	14.57+/-0.35	0.000105+/-0.000004	0.00026+/-0.00008
57242.61002589	15.799000000000001+/-nan	15.077+/-nan	0.0001493526380816294+/-nan	0.00016111118817320897+/-nan
57411.753175289996	16.03+/-0.29	15.21+/-0.05	0.000121+/-0.000032	0.000143+/-0.000007
57606.761535	15.999+/-nan	15.311+/-nan	0.0001242261134749084+/-nan	0.00012987504185496884+/-nan
	nan+/-nan	nan+/-nan	nan+/-nan	nan+/-nan
57971.1493487	16.072+/-nan	15.03+/-nan	0.00011614831082988745+/-nan	0.0001682386212365543+/-nan
58133.01540495	16.623+/-nan	15.21+/-nan	(6.992184802832649+/-nan)e-05	0.0001425363720288248+/-nan
58338.46749583	16.009+/-nan	15.079+/-nan	0.00012308720162081328+/-nan	0.0001608146835717194+/-nan
