mjd	w1mag	w1sig	w2mag	w2sig
57242.61002589	15.799000000000001	0.19699999999999998	15.077	0.501
56687.99086345	16.053	0.262	15.468	0.514
56688.05682457	16.135	0.242	15.242	0.542
56877.51041742	15.33	0.23199999999999998	15.189	0.41700000000000004
57411.58929075	15.742	0.272	15.259	0.444
57411.91705983	16.317999999999998	0.322	15.151	0.522
58133.01540495	16.623	0.479	15.21	0.424
57606.761535	15.999	0.221	15.311	0.48
56687.85919589	15.75	0.175	14.807	0.358
57048.61883566	16.227	0.27699999999999997	14.914000000000001	0.373
57971.1493487	16.072	0.249	15.03	0.42100000000000004
57048.35613693	16.141	0.255	14.220999999999998	0.376
58338.46749583	16.009	0.254	15.079	0.493
