mjd	w1mag	w2mag	w1flux	w2flux
56669.90511358112	11.109+/-0.017	10.905+/-0.013	0.01123+/-0.00018	0.00752+/-0.00009
56849.31771660418	11.105+/-0.012	10.907+/-0.016	0.01127+/-0.00012	0.00750+/-0.00011
57036.95580353	11.109000000000002+/-nan	10.936+/-nan	0.011225686206416776+/-nan	0.007303410314587523+/-nan
57208.274182816356	11.101+/-0.018	10.881+/-0.012	0.01131+/-0.00019	0.00768+/-0.00008
57399.03895943908	11.106+/-0.024	10.913+/-0.010	0.01126+/-0.00025	0.00746+/-0.00007
57567.03995632918	11.137+/-0.019	10.888+/-0.011	0.01094+/-0.00019	0.00764+/-0.00007
57763.16563834834	11.130+/-0.010	10.885+/-0.021	0.01101+/-0.00010	0.00765+/-0.00015
57927.479286156675	11.114+/-0.012	10.914+/-0.010	0.01117+/-0.00013	0.00745+/-0.00007
58130.56646643	11.098+/-0.027	10.906+/-0.009	0.01134+/-0.00028	0.00751+/-0.00007
58287.762325241	11.136+/-0.010	10.921+/-0.011	0.01095+/-0.00010	0.00741+/-0.00008
58494.50414933875	11.142+/-0.016	10.98+/-0.08	0.01089+/-0.00016	0.0070+/-0.0005
58654.964858926	11.112+/-0.009	10.919+/-0.016	0.01120+/-0.00009	0.00742+/-0.00011
