mjd	w1mag	w2mag	w1flux	w2flux
56657.652829939994	11.958+/-0.014	12.034+/-0.022	0.00513+/-0.00007	0.00266+/-0.00005
56845.806936345456	12.019+/-0.009	12.049+/-0.022	0.00486+/-0.00004	0.00262+/-0.00005
57024.65655306273	11.963+/-0.014	12.063+/-0.019	0.00511+/-0.00006	0.00259+/-0.00005
57207.54611383801	11.963+/-0.020	12.006+/-0.018	0.00511+/-0.00009	0.00273+/-0.00004
57383.741465806925	11.972+/-0.013	12.051+/-0.016	0.00507+/-0.00006	0.00262+/-0.00004
57574.62612688166	12.013+/-0.014	12.041+/-0.020	0.00488+/-0.00006	0.00264+/-0.00005
57742.989570939164	11.991+/-0.018	12.060+/-0.025	0.00498+/-0.00008	0.00259+/-0.00006
57938.773787037506	12.032+/-0.024	12.061+/-0.017	0.00480+/-0.00011	0.00259+/-0.00004
58103.71154778846	11.987+/-0.018	12.089+/-0.016	0.00500+/-0.00008	0.00253+/-0.00004
58304.7402702615	12.014+/-0.016	12.083+/-0.014	0.00488+/-0.00007	0.002539+/-0.000032
58464.82039434231	12.019+/-0.020	12.071+/-0.011	0.00486+/-0.00009	0.002569+/-0.000027
58670.068697843075	12.023+/-0.016	12.108+/-0.019	0.00484+/-0.00007	0.00248+/-0.00004
