mjd	w1mag	w2mag	w1flux	w2flux
56645.02576881	15.75+/-0.26	15.13+/-0.08	0.00016+/-0.00004	0.000154+/-0.000012
	nan+/-nan	nan+/-nan	nan+/-nan	nan+/-nan
	nan+/-nan	nan+/-nan	nan+/-nan	nan+/-nan
57195.087012870004	15.66+/-0.17	15.04+/-0.07	0.000170+/-0.000027	0.000167+/-0.000010
57369.09556471	15.758+/-nan	14.97+/-nan	0.00015510039296224917+/-nan	0.00017779752064875509+/-nan
57559.009668425715	15.89+/-0.14	15.16+/-0.11	0.000138+/-0.000017	0.000150+/-0.000016
57728.341501695	15.60+/-0.20	15.05+/-0.21	0.000179+/-0.000032	0.000166+/-0.000032
57926.27800227	15.47+/-0.22	15.2445+/-0.0005	0.00020+/-0.00004	0.00013808+/-0.00000006
58091.96517071	15.530999999999999+/-nan	14.687000000000001+/-nan	0.00019116698827188899+/-nan	0.0002307414941392526+/-nan
58290.57588087	16.359+/-nan	14.302+/-nan	(8.91687950791176+/-nan)e-05	0.0003289468262040339+/-nan
58452.511516323335	15.61+/-0.14	15.20+/-0.20	0.000177+/-0.000022	0.000144+/-0.000026
58654.36277394999	15.6+/-0.5	15.11+/-0.04	0.00017+/-0.00008	0.000157+/-0.000006
58816.71332804	15.94+/-0.24	15.21+/-0.14	0.000132+/-0.000029	0.000143+/-0.000018
