mjd	w1mag	w2mag	w1flux	w2flux
56721.23837438078	9.333+/-0.012	8.629+/-0.006	0.0576+/-0.0006	0.06116+/-0.00033
56900.98497494313	9.338+/-0.007	8.645+/-0.005	0.0574+/-0.0004	0.06026+/-0.00030
57083.159243839225	9.346+/-0.020	8.622+/-0.006	0.0569+/-0.0011	0.06155+/-0.00033
57262.17879531615	9.348+/-0.010	8.654+/-0.006	0.0568+/-0.0005	0.0598+/-0.0004
57448.733599868705	9.350+/-0.010	8.622+/-0.008	0.0567+/-0.0005	0.0615+/-0.0005
57620.980665658564	9.374+/-0.011	8.656+/-0.008	0.0555+/-0.0006	0.0596+/-0.0004
57814.44921535728	9.361+/-0.014	8.644+/-0.015	0.0562+/-0.0007	0.0603+/-0.0008
57981.448297640774	9.359+/-0.012	8.669+/-0.007	0.0563+/-0.0006	0.0589+/-0.0004
58178.67895160909	9.360+/-0.011	8.633+/-0.006	0.0562+/-0.0006	0.06091+/-0.00033
58341.90458647364	9.361+/-0.013	8.660+/-0.008	0.0561+/-0.0007	0.0594+/-0.0005
58545.72066470154	9.387+/-0.008	8.644+/-0.007	0.0549+/-0.0004	0.0603+/-0.0004
58709.07043274999	9.369+/-0.007	8.657+/-0.006	0.0558+/-0.0004	0.05957+/-0.00035
