mjd	w1mag	w1sig	w2mag	w2sig
57239.00420208	9.679	0.019	9.474	0.016
56877.84136835	9.693	0.013999999999999999	9.582	0.013999999999999999
57970.88957909	9.758	0.017	9.634	0.016
57970.03845344	9.789	0.018000000000000002	9.487	0.015
58338.07707824	9.714	0.02	9.54	0.018000000000000002
57970.56232095	9.693999999999999	0.02	9.472000000000001	0.016
57970.49686935	9.702	0.018000000000000002	9.597999999999999	0.017
57238.67618001	9.826	0.013999999999999999	9.511000000000001	0.015
58701.78251223	9.677999999999999	0.02	9.472999999999999	0.017
57239.20093895	9.732000000000001	0.017	9.552	0.017
57606.10854641	9.838	0.013999999999999999	9.545	0.015
57970.16948405	9.908999999999999	0.015	9.576	0.016
57970.62777259	9.859	0.016	9.593	0.013999999999999999
56877.11783513	9.747	0.016	9.512	0.015
56877.31508133	9.741	0.015	9.519	0.013999999999999999
58337.35723774	9.77	0.016	9.578	0.016
58494.04554131	9.881	0.018000000000000002	9.494	0.015
57970.3003872	9.871	0.015	9.627	0.015
58701.2592817	9.825	0.015	9.575	0.015
57606.30502853	9.805	0.018000000000000002	9.613999999999999	0.017
56877.70982841	9.86	0.016	9.566	0.016
57970.03858081	9.832	0.018000000000000002	9.552	0.013999999999999999
57606.76369979	9.792	0.017	9.543	0.015
58702.10964293	9.85	0.017	9.475	0.018000000000000002
58701.65173644	9.895	0.016	9.619	0.017
58337.74982014	9.842	0.016	9.693	0.018000000000000002
58701.39005751	9.943	0.015	9.51	0.019
58701.97886708	9.808	0.016	9.517999999999999	0.017
58132.75143299	9.922	0.018000000000000002	9.594	0.013999999999999999
57606.63266921	9.827	0.016	9.596	0.017
58337.48763166	9.727	0.016	9.537	0.018000000000000002
57239.39780308	9.714	0.019	9.509	0.018000000000000002
57605.7809062	9.838	0.018000000000000002	9.503	0.015
57606.17399804	9.927	0.018000000000000002	9.646	0.016
57970.43129044	9.749	0.019	9.679	0.016
56877.44674861	9.865	0.016	9.474	0.015
57239.06978105	9.722000000000001	0.016	9.57	0.016
57411.32493631	9.837	0.015	9.476	0.015
58701.58628485	9.822000000000001	0.015	9.49	0.017
58337.8152717	9.859	0.016	9.559	0.015
58494.50357628	9.947000000000001	0.017	9.55	0.013999999999999999
56876.85462735	9.804	0.013000000000000001	9.517000000000001	0.013999999999999999
58337.61891688	9.775	0.016	9.607999999999999	0.016
57606.37060748	9.818	0.015	9.542	0.016
57605.91193683	9.881	0.015	9.581	0.015
57238.80733791	9.851	0.013999999999999999	9.555	0.015
58337.68436848	9.833	0.013999999999999999	9.578	0.015
57606.23957699	9.838	0.015	9.513	0.016
56687.65940251	9.795	0.013999999999999999	9.597000000000001	0.015
58337.94617501	9.809	0.017	9.684	0.013999999999999999
57239.26651782	9.801	0.013999999999999999	9.508	0.016
57970.49674204	9.773	0.016	9.581	0.017
58701.12799654	9.836	0.021	9.537	0.016
58701.71718801	9.853	0.013999999999999999	9.62	0.016
56687.39594602	9.719	0.016	9.493	0.016
58701.12786918	9.84	0.018000000000000002	9.581	0.015
56876.98616788	9.898	0.018000000000000002	9.472999999999999	0.013999999999999999
57605.78103356	9.81	0.016	9.509	0.015
58337.09543145	9.815	0.013999999999999999	9.617	0.015
58494.17593551	9.88	0.015	9.482000000000001	0.016
56687.9228649	9.818999999999999	0.017	9.491	0.015
57411.1281987	9.746	0.016	9.522	0.015
56687.92299221	9.81	0.016	9.466000000000001	0.013000000000000001
57772.32892816	9.799	0.018000000000000002	9.538	0.016
57970.36583884	9.9	0.015	9.527000000000001	0.015
57410.93158767	9.703	0.015	9.478	0.013999999999999999
57970.7586758	9.862	0.016	9.509	0.016
58701.84796387	9.847000000000001	0.016	9.541	0.015
57773.31135345	9.874	0.015	9.576	0.017
58494.30734829	9.85	0.015	9.547	0.013999999999999999
58132.29327044	9.847999999999999	0.015	9.586	0.017
58133.01324078	9.836	0.015	9.583	0.015
57239.00407472	9.744	0.016	9.521	0.015
57239.13536002	9.798	0.013000000000000001	9.576	0.016
56687.06652228	9.771	0.016	9.515	0.017
57411.65270528	9.887	0.013999999999999999	9.478	0.015
58494.63447979	9.841000000000001	0.013999999999999999	9.543	0.016
58132.6205294	9.738999999999999	0.015	9.574	0.013999999999999999
58337.22633462	9.883	0.013999999999999999	9.644	0.016
56687.46177981	9.779	0.013000000000000001	9.506	0.015
58132.42417403	9.913	0.017	9.512	0.013999999999999999
57238.9384958	9.847000000000001	0.015	9.497	0.015
58132.68598115	9.81	0.013999999999999999	9.546	0.015
58132.16236691	9.776	0.017	9.599	0.013999999999999999
57411.06261887	9.805	0.018000000000000002	9.517999999999999	0.013999999999999999
56687.32998486	9.829	0.017	9.5	0.015
58493.91476516	9.772	0.017	9.45	0.017
57772.59099826	9.818999999999999	0.016	9.572000000000001	0.013000000000000001
56877.51245485	9.859	0.015	9.583	0.013000000000000001
58701.52045132	9.849	0.016	9.777999999999999	0.016
56877.57828845	9.605	0.016	9.503	0.015
57772.91838649	9.831	0.016	9.61	0.015
58132.88233657	9.866	0.015	9.449	0.015
56687.59356875	9.732999999999999	0.013999999999999999	9.565	0.015
58494.24189653	9.771	0.016	9.476	0.015
57411.39051558	9.798	0.016	9.298	0.016
58494.37280009	9.807	0.017	9.532	0.013999999999999999
58132.55507762	9.904	0.015	9.514	0.015
58494.76538339	9.822000000000001	0.016	9.511000000000001	0.015
56877.249375	9.596	0.017	9.675	0.013000000000000001
57411.52154672	9.811	0.013999999999999999	9.464	0.015
57410.80042911	9.775	0.016	9.538	0.013000000000000001
57969.90755024	9.82	0.013999999999999999	9.541	0.013999999999999999
57772.45995947	9.919	0.016	9.571	0.017
57773.04941792	9.843	0.015	9.673	0.017
57047.95960574	9.609	0.018000000000000002	9.468	0.015
57411.25935707	9.857000000000001	0.015	9.539	0.013000000000000001
58337.55346531	9.703	0.015	9.545	0.015
57772.72190237	9.808	0.016	9.559	0.016
57411.19377785	9.847999999999999	0.015	9.612	0.013999999999999999
56687.52760767	9.71	0.017	9.458	0.016
58493.78386156	9.835	0.015	9.488999999999999	0.015
56687.79119734	9.898	0.013999999999999999	9.529	0.013999999999999999
57772.78748177	9.756	0.016	9.463	0.015
