mjd	w1mag	w2mag	w1flux	w2flux
56731.73969147	13.396+/-0.008	13.490+/-0.034	0.001366+/-0.000011	0.000695+/-0.000022
56923.20839962693	13.402+/-0.015	13.39+/-0.04	0.001359+/-0.000019	0.000764+/-0.000027
57090.83691448364	13.400+/-0.011	13.56+/-0.06	0.001361+/-0.000014	0.00065+/-0.00004
57285.140543168454	13.385+/-0.021	13.459+/-0.031	0.001379+/-0.000027	0.000715+/-0.000020
57449.97119619416	13.396+/-0.015	13.48+/-0.06	0.001366+/-0.000019	0.00070+/-0.00004
57649.65105884714	13.429+/-0.016	13.55+/-0.04	0.001325+/-0.000020	0.000658+/-0.000027
57814.07594583307	13.409+/-0.012	13.451+/-0.029	0.001350+/-0.000015	0.000721+/-0.000019
58016.28833052917	13.420+/-0.014	13.52+/-0.06	0.001336+/-0.000017	0.00068+/-0.00004
58171.844337400005	13.421+/-0.010	13.504+/-0.035	0.001335+/-0.000012	0.000686+/-0.000022
58380.50870775333	13.419+/-0.015	13.426+/-0.027	0.001338+/-0.000018	0.000737+/-0.000018
58538.18050169083	13.424+/-0.020	13.49+/-0.04	0.001332+/-0.000025	0.000692+/-0.000027
58744.98973371357	13.438+/-0.019	13.495+/-0.030	0.001314+/-0.000023	0.000692+/-0.000019
